	CONCETTI TARGET	familiarita'	concretezza	immaginabilita'
0	annullare il banchetto	4	3	3
1	organizzare il cenone	4	5	4
2	portare la cena	5	5	5
3	prenotare il merenda	3	2	3
4	cucinare la cena	5	5	5
5	annullare il decreto	1	1	1
6	prenotare la cena	3	3	3
7	organizzare la cena	4	3	4
8	confezione il vestito	5	5	5
9	annullare l'apertivo	5	5	4
10	organizzare la campagna	1	3	1
11	pagare la pasta	5	5	5
12	preparare il convegno	2	3	3
13	prenotare l'apertivo	3	3	3
14	organizzare il servizio	3	2	3
15	organizzare la spedizione	3	2	3
16	organizzare il merenda	4	2	3
17	annunciare il voto	5	5	5
18	preparare il colloquio	4	5	4
19	portare la colazione	5	5	5
20	annullare l'ordinanza	1	1	1
21	preparare la gita	4	2	3
22	annullare il pranzo	4	5	3
23	annunciare il ministro	1	5	2
24	prenotare il biglietto	4	5	3
25	cucinare la verdura	5	5	5
26	cucinare la merenda	5	5	5
27	pagare il pane	5	5	5
28	confezione il regalo	5	5	5
29	annunciare la battaglia	2	2	2
30	portare l'aperitivo	4	3	4
31	cucinare il cibo	5	5	5
32	prenotare l'aereo	5	3	5
33	organizzare il corso	4	2	3
34	prenotare il volo	5	3	5
35	annullare l'iscrizione	4	2	5
36	cucinare il piatto	5	5	5
37	annullare la cena	4	3	3
38	annunciare il presidente	1	4	1
39	preparare la visita	2	4	3
40	cucinare il pranzo	5	5	5
41	prenotare il cenone	3	3	3
42	annunciare il ritiro	3	2	1
43	cucinare la colazione	5	5	5
44	cucinare la carne	5	5	5
45	pagare la lasagna	5	5	5
46	confezionare la colazione	5	5	5
47	portare il pranzo	5	3	5
48	portare l'acqua	5	3	5
49	organizzare il colazione	3	2	3
50	pagare il viaggio	5	5	5
51	preparare l'incontro	3	3	3
52	prenotare l'albergo	4	4	4
53	organizzare l'azione	2	1	2
54	prenotare la camera	4	2	3
55	annunciare l'apertivo	4	3	4
56	confezione il prodotto	5	5	3
57	confezionare la merenda	5	5	4
58	prenotare il treno	5	3	5
59	cucinare il banchetto	5	5	5
60	portare l'attenzione	3	1	3
61	annunciare la decisione	4	3	4
62	annunciare la cena	4	3	4
63	pagare la festa	5	3	5
64	portare il peso	2	1	2
65	pagare la pizza	5	5	5
66	organizzare la difesa	1	1	2
67	preparare la lasagna	5	5	5
68	preparare il pane	5	5	5
69	portare la firma	3	4	3
70	annullare il cenone	4	2	4
71	annunciare l'intenzione	4	2	4
72	prenotare il banchetto	3	3	4
73	annullare la condanna	1	2	2
74	annullare il merenda	4	2	3
75	portare la mano	1	2	2
76	annunciare il risultato	4	3	4
77	preparare la festa	5	4	5
78	pagare la gita	5	5	5
79	prenotare il pranzo	5	3	5
80	annunciare il cenone	4	2	3
81	prenotare il banchetto	3	3	3
82	portare il risultato	4	3	3
83	pagare il panino	5	5	5
84	portare la merenda	5	5	5
85	portare l'esempio	5	5	5
86	portare il frutto	5	5	5
87	organizzare il pranzo	3	3	4
88	preparare il viaggio	4	2	4
89	organizzare la giornata	4	2	4
90	prenotare il colazione	3	3	4
91	preparare il panino	5	5	5
92	pagare l'incontro	5	5	5
93	annunciare il banchetto	3	4	3
94	prenotare il posto	4	3	4
95	confezionare la cena	5	5	5
96	organizzare il banchetto	3	3	3
97	annullare l'effetto	2	2	1
98	organizzare l'apertivo	4	3	4
99	confezione il pacco	5	5	3
100	confezionare il pranzo	5	5	4
101	confezione la camicia	5	5	4
102	confezione l'abito	5	5	4
103	pagare la visita	4	5	5
104	annullare il colazione	3	2	3
105	confezionare l'aperitivo	5	5	3
106	pagare il risotto	5	5	5
107	cucinare la ricetta	5	5	5
108	annullare la decisione	3	3	2
109	preparare la pasta	5	5	5
110	pagare il convegno	3	5	3
111	annunciare l'arrivo	4	3	4
112	annunciare il pranzo	4	3	4
113	preparare la pizza	5	5	5
114	cucinare il cenone	5	5	5
115	preparare il risotto	5	5	5
116	portare il nome	5	1	2
117	portare la arma	1	3	3
