	CONCETTI TARGET	familiarita'	concretezza	immaginabilita'
0	annullare il banchetto	5	3	5
1	organizzare il cenone	5	2	5
2	portare la cena	5	3	5
3	prenotare il merenda	1	4	1
4	cucinare la cena	5	3	5
5	annullare il decreto	5	4	3
6	prenotare la cena	5	3	4
7	organizzare la cena	4	2	2
8	confezionare il vestito	3	5	5
9	annullare l'apertivo	5	3	4
10	organizzare la campagna	5	2	5
11	pagare la pasta	4	5	3
12	preparare il convegno	5	3	4
13	prenotare l'apertivo	4	5	5
14	organizzare il servizio	3	2	2
15	organizzare la spedizione	4	4	4
16	organizzare il merenda	2	5	3
17	annunciare il voto	5	5	4
18	preparare il colloquio	5	4	1
19	portare la colazione	5	3	4
20	annullare l'ordinanza	5	1	2
21	preparare la gita	4	2	4
22	annullare il pranzo	2	4	2
23	annunciare il ministro	4	3	5
24	prenotare il biglietto	5	4	5
25	cucinare la verdura	4	4	4
26	cucinare la merenda	1	3	1
27	pagare il pane	5	3	4
28	confezionare il regalo	4	2	5
29	annunciare la battaglia	5	4	5
30	portare l'aperitivo	4	3	4
31	cucinare il cibo	5	3	5
32	prenotare l'aereo	5	3	5
33	organizzare il corso	5	2	4
34	prenotare il volo	4	2	3
35	annullare l'iscrizione	4	5	3
36	cucinare il piatto	5	5	3
37	annullare la cena	5	4	2
38	annunciare il presidente	4	3	2
39	preparare la visita	1	2	1
40	cucinare il pranzo	5	3	5
41	prenotare il cenone	5	2	5
42	annunciare il ritiro	4	2	2
43	cucinare la colazione	5	4	4
44	cucinare la carne	5	4	5
45	pagare la lasagna	5	3	3
46	confezionare la colazione	1	2	1
47	portare il pranzo	5	3	5
48	portare l'acqua	5	3	5
49	organizzare il colazione	1	1	1
50	pagare il viaggio	3	3	4
51	preparare l'incontro	2	3	4
52	prenotare l'albergo	5	2	5
53	organizzare l'azione	3	1	4
54	prenotare la camera	5	2	5
55	annunciare l'apertivo	1	3	2
56	confezionare il prodotto	2	3	3
57	confezionare la merenda	1	2	3
58	prenotare il treno	2	3	4
59	cucinare il banchetto	2	4	2
60	portare l'attenzione	4	1	2
61	annunciare la decisione	5	1	2
62	annunciare la cena	3	2	2
63	pagare la festa	1	3	3
64	portare il peso	3	1	3
65	pagare la pizza	5	4	5
66	organizzare la difesa	4	3	5
67	preparare la lasagna	5	4	5
68	preparare il pane	5	5	3
69	portare la firma	3	3	4
70	annullare il cenone	4	2	3
71	annunciare l'intenzione	3	2	4
72	prenotare il banchetto	1	3	2
73	annullare la condanna	5	1	4
74	annullare il merenda	1	3	3
75	portare la mano	2	2	3
76	annunciare il risultato	4	2	4
77	preparare la festa	5	3	4
78	pagare la gita	3	2	4
79	prenotare il pranzo	5	3	4
80	annunciare il cenone	1	2	3
81	prenotare il banchetto	2	4	3
82	portare il risultato	2	1	1
83	pagare il panino	4	4	3
84	portare la merenda	5	3	2
85	portare l'esempio	5	1	4
86	portare il frutto	3	4	5
87	organizzare il pranzo	4	2	2
88	preparare il viaggio	4	2	4
89	organizzare la giornata	5	1	5
90	prenotare il colazione	2	2	2
91	preparare il panino	4	3	4
92	pagare l'incontro	1	2	1
93	annunciare il banchetto	4	3	2
94	prenotare il posto	4	2	2
95	confezionare la cena	1	1	1
96	organizzare il banchetto	4	2	2
97	annullare l'effetto	2	1	2
98	organizzare l'apertivo	5	2	4
99	confezionare il pacco	4	3	4
100	confezionare il pranzo	1	3	2
101	confezionare la camicia	4	4	1
102	confezionare l'abito	5	5	4
103	pagare la visita	5	4	5
104	annullare il colazione	3	3	3
105	confezionare l'aperitivo	2	2	1
106	pagare il risotto	3	3	2
107	cucinare la ricetta	2	2	5
108	annullare la decisione	5	1	1
109	preparare la pasta	4	4	3
110	pagare il convegno	3	4	4
111	annunciare l'arrivo	5	2	3
112	annunciare il pranzo	3	3	4
113	preparare la pizza	5	5	5
114	cucinare il cenone	5	4	4
115	preparare il risotto	5	4	5
116	portare il nome	5	2	1
117	portare la arma	3	3	3
